    1      -2.1836       0.5587   5
    2      -2.0766       0.8241   5
    3      -1.9773       0.8633   5
    4      -1.6580       0.6214   5
    5      -1.5256       0.9211   5
    6      -1.3581       1.1634   5
    7      -1.0776       1.4449   6
    8      -0.7511       1.7392   6
    9      -0.3965       1.7379   6
   10       0.0087       1.1332   7
   11       0.2682       0.9638   7
   12       0.5509       0.5390   8
   13       0.5841       0.5694   8
   14       0.7433       0.8502   7
   15       0.9926       1.0957   7
   16       1.4542       1.6478   7
   17       2.1094       1.8037   8
   18       2.7404       1.6772   8
   19       3.2225       1.5143   8
   20       3.5361       0.6317   8
   21       3.5917       0.0287   8
   22       3.6341      -0.4126   1
   23       3.5762      -0.9223   1
   24       3.3871      -1.4648   1
   25       3.0810      -1.9520   1
   26       2.6736      -2.3524   1
   27       2.1237      -2.6537   2
   28       1.5167      -2.9279   2
   29       1.0048      -2.6823   2
   30       0.5091      -2.1396   2
   31       0.3580      -1.3768   2
   32       0.2220      -0.8087   2
   33       0.2727      -0.4481   2
   34       0.3206      -0.2070   1
   35       0.4032      -0.5801   2
   36       0.2800      -0.6304   2
   37       0.1152      -0.5557   2
   38      -0.0066      -0.4688   3
   39      -0.1284      -0.3486   3
   40      -0.2458      -0.2200   4
   41      -0.2426      -0.1435   4
   42      -0.3143      -0.1642   4
   43      -0.2773      -0.2054   4
   44      -0.3101      -0.1299   4
   45      -0.2590       0.0970   5
   46      -0.0431       0.2418   6
   47       0.0376       0.2176   7
   48       0.2089       0.0145   8
   49       0.4370      -0.0456   1
   50       0.4257      -0.1377   1
   51       0.4502      -0.0886   1
   52       0.4955      -0.0713   1
   53       0.5967      -0.0124   1
   54       0.7726       0.0162   8
   55       0.9126       0.0887   8
   56       1.2863       0.1953   8
   57       1.4574       0.0193   8
   58       1.5619      -0.2092   1
   59       1.5528      -0.5081   1
   60       1.5119      -0.6193   1
   61       1.6198      -0.7719   1
   62       1.5148      -1.1223   1
   63       1.3986      -1.5434   2
   64       1.2957      -1.8033   2
   65       0.9890      -2.0596   2
   66       0.5850      -2.1089   2
   67       0.1494      -2.0869   2
   68      -0.2462      -1.8894   3
   69      -0.4965      -1.5671   3
   70      -0.7887      -1.1321   3
   71      -0.8278      -0.5814   4
   72      -0.7870      -0.2617   4
   73      -0.7281      -0.0734   4
   74      -0.6116       0.0706   5
   75      -0.4125       0.0934   5
   76      -0.0679       0.0566   5
   77       0.1101      -0.2159   2
   78       0.2020      -0.4202   2
   79       0.3335      -0.5020   2
   80       0.4734      -0.3941   1
   81       0.6657      -0.1101   1
   82       0.8604      -0.0145   1
   83       0.8794       0.0228   8
