company_id,nse_symbol,fiscal_year,quarter,period_end,filing_date,source_url,match_confidence,attachment_format,extraction_status,extracted_char_count,xbrl_available,notes
HDFCBANK,HDFCBANK,FY2021,Q1,2020-06-30,18-Jul-2020 12:40:25,https://nsearchives.nseindia.com/corporate/SEIntimation18072020_18072020124025.zip,text_confirmed,zip,extracted,45954,True,zip_contains_pdf(1_files)
HDFCBANK,HDFCBANK,FY2021,Q2,2020-09-30,17-Oct-2020 16:19:30,https://nsearchives.nseindia.com/corporate/SEResultSep2020_17102020161930.zip,text_confirmed,zip,extracted,1562,True,zip_contains_pdf(1_files)
HDFCBANK,HDFCBANK,FY2021,Q3,2020-12-31,16-Jan-2021 16:46:43,https://nsearchives.nseindia.com/corporate/SEResultDec2020_16012021164643.zip,text_confirmed,zip,extracted,26097,True,zip_contains_pdf(1_files)
HDFCBANK,HDFCBANK,FY2021,Q4,2021-03-31,17-Apr-2021 14:32:57,https://nsearchives.nseindia.com/corporate/SEResults31March2021.pdf,text_confirmed,pdf,extracted,33487,True,
HDFCBANK,HDFCBANK,FY2022,Q1,2021-06-30,17-Jul-2021 12:53:37,https://nsearchives.nseindia.com/corporate/SEResult30June2021_17072021125337.pdf,text_confirmed,pdf,extracted,32738,True,
HDFCBANK,HDFCBANK,FY2022,Q2,2021-09-30,16-Oct-2021 14:50:25,https://nsearchives.nseindia.com/corporate/SEResultsSept302021_16102021145025.pdf,text_confirmed,pdf,extracted,41989,True,
HDFCBANK,HDFCBANK,FY2022,Q3,2021-12-31,15-Jan-2022 13:36:52,https://nsearchives.nseindia.com/corporate/HDFCBANK_15012022133652_2112HDFCBankSignedResults.pdf,date_window_only,pdf,extracted,43638,True,
HDFCBANK,HDFCBANK,FY2022,Q4,2022-03-31,16-Apr-2022 14:27:46,https://nsearchives.nseindia.com/corporate/SEResult31032022_16042022142746.pdf,text_confirmed,pdf,extracted,1820,True,
HDFCBANK,HDFCBANK,FY2023,Q1,2022-06-30,16-Jul-2022 13:34:48,https://nsearchives.nseindia.com/corporate/HDFCBANK_16072022133448_SEintimationresultsjune2022.pdf,date_window_only,pdf,extracted,24096,True,
HDFCBANK,HDFCBANK,FY2023,Q2,2022-09-30,15-Oct-2022 13:49:18,https://nsearchives.nseindia.com/corporate/HDFCBANK_15102022134918_Results_MRF.pdf,date_window_only,pdf,extracted,73889,True,
HDFCBANK,HDFCBANK,FY2023,Q3,2022-12-31,14-Jan-2023 13:02:51,https://nsearchives.nseindia.com/corporate/SEIntimationResult31122022_signed_14012023130251.pdf,text_confirmed,pdf,extracted,51509,True,
HDFCBANK,HDFCBANK,FY2023,Q4,2023-03-31,15-Apr-2023 13:32:50,https://nsearchives.nseindia.com/corporate/SEIntimationResults31032023_15042023133250.pdf,text_confirmed,pdf,extracted,60160,True,
HDFCBANK,HDFCBANK,FY2024,Q1,2023-06-30,30-Jun-2023 22:16:05,https://nsearchives.nseindia.com/corporate/HDFCBANK_30062023221605_SEintimationOutcomeAGMdateUpdated.pdf,date_window_only,pdf,extracted,4476,True,
HDFCBANK,HDFCBANK,FY2024,Q2,2023-09-30,16-Oct-2023 15:50:41,https://nsearchives.nseindia.com/corporate/SEResult30092023_16102023155041.pdf,text_confirmed,pdf,extracted,1931,True,
HDFCBANK,HDFCBANK,FY2024,Q3,2023-12-31,16-Jan-2024 15:53:02,https://nsearchives.nseindia.com/corporate/SEResultDec2023_16012024155302.pdf,text_confirmed,pdf,extracted,1607,True,
HDFCBANK,HDFCBANK,FY2024,Q4,2024-03-31,20-Apr-2024 14:31:20,https://nsearchives.nseindia.com/corporate/SEResultMarch2024_20042024143120.pdf,text_confirmed,pdf,extracted,1828,True,
HDFCBANK,HDFCBANK,FY2025,Q1,2024-06-30,20-Jul-2024 14:15:17,https://nsearchives.nseindia.com/corporate/SEResult30062024_20072024141517.pdf,text_confirmed,pdf,extracted,1570,True,
HDFCBANK,HDFCBANK,FY2025,Q2,2024-09-30,19-Oct-2024 14:12:47,https://nsearchives.nseindia.com/corporate/SEResultSept2024_19102024141247.pdf,text_confirmed,pdf,extracted,1683,True,
HDFCBANK,HDFCBANK,FY2025,Q3,2024-12-31,22-Jan-2025 14:07:25,https://nsearchives.nseindia.com/corporate/SEResult31122024_22012025140725.pdf,text_confirmed,pdf,extracted,2696,True,
HDFCBANK,HDFCBANK,FY2025,Q4,2025-03-31,19-Apr-2025 15:02:02,https://nsearchives.nseindia.com/corporate/HDFCBANK_19042025150107_SERsultMRF31032025.pdf,date_window_only,pdf,extracted,94070,True,
